Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/2/2020,142.2519989,148.7380066,137.3339996,148.723999,100975000,0,0
2/28/2020,125.9400024,138.1040039,122.3040009,133.5980072,122821000,0,0
2/27/2020,146,147.9539948,133.8000031,135.8000031,121386000,0,0
2/26/2020,156.5,162.6620026,155.2220001,155.7599945,70427500,0,0
2/25/2020,169.8000031,171.3200073,157.3999939,159.9819946,86452500,0,0
2/24/2020,167.8000031,172.6999969,164.4400024,166.7579956,75961000,0,0
2/21/2020,181.3959961,182.6119995,176.0899963,180.1999969,71574000,0,0
2/20/2020,182.3899994,182.3999939,171.9880066,179.8820038,88174500,0,0
2/19/2020,184.6999969,188.9559937,180.2039948,183.4839935,127115000,0,0
2/18/2020,168.3200073,172,166.4720001,171.6799927,81908500,0,0
2/14/2020,157.4440002,162.5939941,157.1000061,160.0059967,78468500,0,0
2/13/2020,148.3679962,163.6000061,147,160.8000031,131446500,0,0
2/12/2020,155.5740051,157.9499969,152.673996,153.4579926,60112500,0,0
2/11/2020,153.7579956,156.7019958,151.6000061,154.8760071,58487500,0,0
2/10/2020,160,163.9980011,150.4799957,154.2559967,123446000,0,0
2/7/2020,146.1100006,153.9499969,146,149.6139984,85317500,0,0
2/6/2020,139.9839935,159.1660004,137.3999939,149.7920074,199404000,0,0
2/5/2020,164.6519928,169.1959991,140.8220062,146.9400024,242119000,0,0
2/4/2020,176.5919952,193.7980042,166.776001,177.4120026,304694000,0,0
2/3/2020,134.7380066,157.2279968,134.7039948,156,236167500,0,0
1/31/2020,128,130.6000061,126.5039978,130.1139984,78596500,0,0
1/30/2020,126.4840012,130.1759949,123.5999985,128.1620026,145028500,0,0
1/29/2020,115.1380005,117.9599991,113.4860001,116.197998,89007500,0,0
1/28/2020,113.697998,115.3619995,111.6159973,113.3799973,58942500,0,0
1/27/2020,108.3980026,112.8880005,107.8560028,111.6039963,68040500,0,0
1/24/2020,114.1259995,114.7720032,110.8519974,112.9639969,71768000,0,0
1/23/2020,112.8499985,116.4000015,111.1200027,114.4400024,98255000,0,0
1/22/2020,114.3779984,118.9000015,111.8199997,113.9120026,156845000,0,0
1/21/2020,106.0500031,109.7160034,105.6819992,109.4400024,89017500,0,0
1/17/2020,101.5220032,103.1340027,100.6320038,102.0999985,68145500,0,0
1/16/2020,98.75,102.8919983,98.43399811,102.697998,108683500,0,0
1/15/2020,105.9520035,107.5680008,103.3580017,103.6999969,86844000,0,0
1/14/2020,108.8519974,109.4820023,104.9800034,107.5839996,144981000,0,0
1/13/2020,98.69999695,105.1259995,98.40000153,104.9720001,132588000,0,0
1/10/2020,96.35800171,96.98799896,94.73999786,95.62999725,64797500,0,0
1/9/2020,99.41999817,99.76000214,94.5739975,96.26799774,142202000,0,0
1/8/2020,94.73999786,99.69799805,93.64600372,98.4280014,155721500,0,0
1/7/2020,92.27999878,94.3259964,90.67199707,93.81199646,89410500,0,0
1/6/2020,88.09400177,90.31199646,88,90.30799866,50665000,0,0
1/3/2020,88.09999847,90.80000305,87.38400269,88.60199738,88892500,0,0
1/2/2020,84.90000153,86.13999939,84.34200287,86.05200195,47660500,0,0
12/31/2019,81,84.25800323,80.41600037,83.66600037,51428500,0,0
12/30/2019,85.75800323,85.80000305,81.85199738,82.94000244,62932000,0,0
12/27/2019,87,87.06199646,85.22200012,86.0759964,49728500,0,0
12/26/2019,85.58200073,86.69599915,85.26999664,86.18800354,53169500,0,0
12/24/2019,83.67199707,85.09400177,82.53800201,85.05000305,40273500,0,0
